chemical1	chemical2	textmining
CIDs91758403	CIDs00012331	223
CIDs91758403	CIDs00124270	154
CIDs91758403	CIDs12450582	150
CIDs91758403	CIDs00128225	385
CIDs91758403	CIDs13500643	154
CIDs91758403	CIDs13694493	388
CIDs91758403	CIDs00013836	195
CIDs91758403	CIDs15100184	274
CIDs91758403	CIDs00015357	388
CIDs91758403	CIDs15523780	239
CIDs91758403	CIDs00015993	209
CIDs91758403	CIDs00164853	151
CIDs91758403	CIDs00169795	230
CIDs91758403	CIDs18231531	151
CIDs91758403	CIDs18971832	152
CIDs91758403	CIDs00019001	283
CIDs91758403	CIDs19609453	232
CIDs91758403	CIDs00019648	194
CIDs91758403	CIDs20473353	157
CIDs91758403	CIDs20885072	273
CIDs91758403	CIDs00225521	218
CIDs91758403	CIDs00002349	194
CIDs91758403	CIDs00023830	151
CIDs91758403	CIDs00024584	300
CIDs91758403	CIDs24937836	400
CIDs91758403	CIDs24978514	175
CIDs91758403	CIDs25015746	174
CIDs91758403	CIDs00000280	230
CIDs91758403	CIDs03027755	298
CIDs91758403	CIDs00003051	271
CIDs91758403	CIDs30980947	156
CIDs91758403	CIDs03270699	203
CIDs91758403	CIDs03539647	172
CIDs91758403	CIDs00003624	299
CIDs91758403	CIDs00003776	230
CIDs91758403	CIDs40701156	172
CIDs91758403	CIDs04233538	150
CIDs91758403	CIDs04424212	150
CIDs91758403	CIDs44263835	157
CIDs91758403	CIDs00443314	175
CIDs91758403	CIDs44537809	208
CIDs91758403	CIDs00459005	230
CIDs91758403	CIDs00465300	150
CIDs91758403	CIDs46890304	154
CIDs91758403	CIDs00004873	168
CIDs91758403	CIDs00517959	151
CIDs91758403	CIDs00521210	181
CIDs91758403	CIDs00005234	236
CIDs91758403	CIDs52940035	154
CIDs91758403	CIDs05311097	151
CIDs91758403	CIDs00532148	187
CIDs91758403	CIDs05364673	172
CIDs91758403	CIDs53714227	151
CIDs91758403	CIDs53891830	151
CIDs91758403	CIDs05393173	155
CIDs91758403	CIDs53935798	175
CIDs91758403	CIDs00547873	153
CIDs91758403	CIDs00005501	155
CIDs91758403	CIDs00005590	151
CIDs91758403	CIDs57308189	285
CIDs91758403	CIDs57417016	195
CIDs91758403	CIDs00005819	150
CIDs91758403	CIDs00005961	157
CIDs91758403	CIDs00005962	172
CIDs91758403	CIDs00006049	273
CIDs91758403	CIDs00006212	258
CIDs91758403	CIDs06336567	150
CIDs91758403	CIDs06436805	215
CIDs91758403	CIDs00006503	195
CIDs91758403	CIDs00066535	151
CIDs91758403	CIDs66691070	176
