dataset_id	concept_id_1	concept_id_2	concept_count	concept_prevalence	chi_square_t	chi_square_p	expected_count	ln_ratio	rel_freq_1	rel_freq_2
1	8516	987273	209	1.167317e-04	1.611200e+02	6.440933e-37	9.138362e+01	8.272680e-01	1.956947e-03	1.364230e-01
1	8516	942382	210	1.172902e-04	9.865345e+01	3.007901e-23	1.093382e+02	6.526614e-01	1.966311e-03	1.145663e-01
1	8516	923682	228	1.273436e-04	5.974860e+00	1.451123e-02	1.949358e+02	1.566753e-01	2.134851e-03	6.976744e-02
1	8516	982109	232	1.295777e-04	2.050937e-01	6.506404e-01	2.387785e+02	-2.879890e-02	2.172305e-03	5.795653e-02
1	8516	917310	247	1.379556e-04	3.017111e-01	5.828117e-01	2.387785e+02	3.385207e-02	2.312756e-03	6.170372e-02
1	8516	948079	267	1.491261e-04	1.150448e+01	6.942857e-04	2.184379e+02	2.007470e-01	2.500023e-03	7.291098e-02
1	8516	902741	270	1.508017e-04	3.528709e+00	6.031472e-02	3.015898e+02	-1.106459e-01	2.528114e-03	5.340190e-02
1	8516	961082	289	1.614136e-04	1.152598e+01	6.863021e-04	2.382416e+02	1.931413e-01	2.706018e-03	7.235854e-02
1	8516	915627	308	1.720256e-04	1.546737e+02	1.650086e-35	1.569985e+02	6.738636e-01	2.883922e-03	1.170213e-01
1	8516	974199	318	1.776109e-04	1.130531e+02	2.100736e-26	1.798444e+02	5.699594e-01	2.977556e-03	1.054726e-01
1	8516	939832	335	1.871058e-04	3.248645e+02	1.262800e-72	1.333175e+02	9.213971e-01	3.136733e-03	1.498881e-01
1	8516	954692	336	1.876643e-04	1.759949e+02	3.630449e-40	1.689285e+02	6.876358e-01	3.146097e-03	1.186441e-01
1	8516	907016	347	1.938081e-04	1.386901e+02	5.148318e-32	1.898059e+02	6.033227e-01	3.249094e-03	1.090509e-01
1	8516	974200	359	2.005104e-04	1.462001e+02	1.173797e-33	1.952937e+02	6.088177e-01	3.361455e-03	1.096518e-01
1	8516	974201	368	2.055371e-04	1.686396e+02	1.466529e-38	1.931463e+02	6.446349e-01	3.445725e-03	1.136504e-01
1	8516	905236	382	2.133564e-04	6.715805e+00	9.556212e-03	3.360078e+02	1.282863e-01	3.576813e-03	6.781466e-02
1	8516	951530	382	2.133564e-04	5.508327e+02	8.295368e-122	1.263385e+02	1.106456e+00	3.576813e-03	1.803588e-01
1	8516	961269	392	2.189417e-04	1.277597e+01	3.511003e-04	3.292077e+02	1.745730e-01	3.670446e-03	7.102736e-02
1	8516	948637	404	2.256440e-04	1.299889e+00	2.542336e-01	4.267949e+02	-5.488873e-02	3.782807e-03	5.646401e-02
1	8516	906933	407	2.273196e-04	9.184775e+01	9.360840e-22	2.579261e+02	4.561401e-01	3.810897e-03	9.412581e-02
1	8516	904549	409	2.284366e-04	8.373550e+01	5.656040e-20	2.647858e+02	4.347938e-01	3.829624e-03	9.213787e-02
1	8516	922806	412	2.301122e-04	6.322298e+01	1.845825e-15	2.825615e+02	3.771271e-01	3.857714e-03	8.697488e-02
1	8516	970283	413	2.306707e-04	2.363691e+01	1.163343e-06	3.277761e+02	2.311168e-01	3.867077e-03	7.515924e-02
1	8516	968304	414	2.312292e-04	3.303875e+01	9.034042e-09	3.151900e+02	2.726904e-01	3.876441e-03	7.834974e-02
1	8516	997893	419	2.340219e-04	1.259777e+01	3.862082e-04	3.543203e+02	1.676696e-01	3.923258e-03	7.053872e-02
1	8516	997892	427	2.384901e-04	8.610727e-01	3.534387e-01	4.088403e+02	4.345940e-02	3.998165e-03	6.229939e-02
1	8516	904996	434	2.423997e-04	1.918311e+02	1.266627e-43	2.303678e+02	6.333672e-01	4.063708e-03	1.123770e-01
1	8516	929889	449	2.507776e-04	8.009992e+00	4.651994e-03	3.945840e+02	1.291909e-01	4.204159e-03	6.787604e-02
1	8516	998012	451	2.518947e-04	4.437096e+01	2.716881e-11	3.332639e+02	3.025327e-01	4.222886e-03	8.072311e-02
1	8516	950662	457	2.552458e-04	1.020306e+03	6.927724e-224	1.191208e+02	1.344545e+00	4.279066e-03	2.288433e-01
1	8516	907020	463	2.585970e-04	2.640047e+02	2.299421e-59	2.262520e+02	7.160776e-01	4.335247e-03	1.220670e-01
1	8516	941478	475	2.652992e-04	3.497223e+02	4.870843e-78	2.115185e+02	8.090024e-01	4.447607e-03	1.339538e-01
1	8516	922802	521	2.909914e-04	1.646528e+00	1.994321e-01	4.934238e+02	5.438153e-02	4.878323e-03	6.298356e-02
1	8516	920340	524	2.926670e-04	1.080145e+01	1.014206e-03	4.560830e+02	1.388169e-01	4.906413e-03	6.853257e-02
1	8516	941477	532	2.971352e-04	3.269707e+02	4.391245e-73	2.532734e+02	7.421739e-01	4.981320e-03	1.252944e-01
1	8516	942384	563	3.144494e-04	2.975280e+02	1.138522e-66	2.823229e+02	6.902282e-01	5.271585e-03	1.189520e-01
1	8516	915759	570	3.183591e-04	1.527130e+02	4.425878e-35	3.471027e+02	4.960157e-01	5.337129e-03	9.795498e-02
1	8516	915743	638	3.563388e-04	1.956024e+02	1.903424e-44	3.756153e+02	5.297728e-01	5.973839e-03	1.013181e-01
1	8516	953113	665	3.714189e-04	3.531119e+01	2.810131e-09	5.323752e+02	2.224385e-01	6.226650e-03	7.450980e-02
1	8516	989898	668	3.730945e-04	9.680429e+01	7.653006e-23	4.631217e+02	3.662983e-01	6.254740e-03	8.603812e-02
1	8516	968005	765	4.272714e-04	4.666220e+01	8.434029e-12	6.028217e+02	2.382543e-01	7.162988e-03	7.569761e-02
1	8516	950641	829	4.630170e-04	6.891167e+02	6.956385e-152	3.521133e+02	8.562673e-01	7.762245e-03	1.404371e-01
