dataset_id	concept_id	concept_count	concept_prevalence
1	30770	115	0.00006423034453715335
1	30968	513	0.00028652318910921446
1	30969	29	0.000016197217318064756
1	30978	835	0.00046636815381324387
1	31057	1130	0.0006311329506694198
1	31317	18339	0.010242785117103088
1	31335	62	0.00003462853357655224
1	31339	7	0.000003909673145739768
1	31509	98	0.000054735424040356766
1	31597	68	0.000037979681987186325
1	31598	2741	0.0015309162989246723
1	31602	3225	0.0018012422707158221
1	31609	34	0.000018989840993593163
1	31610	5635	0.003147286882320514
1	31668	30	0.000016755742053170438
1	31720	12	0.000006702296821268175
1	31821	1851	0.001033829284680616
1	31884	391	0.00021838317142632138
1	31967	18274	0.010206481009321219
1	72245	143	0.00007986903712011242
1	72266	549	0.00030663007957301903
1	72377	201	0.00011226347175624193
1	72401	40	0.00002234098940422725
1	72403	15	0.000008377871026585219
1	72404	1555	0.0008685059630893344
1	72405	6472	0.0036147720856039693
1	72407	955	0.0005333911220259256
1	72410	40	0.00002234098940422725
1	72413	490	0.0002736771202017838
1	72415	376	0.00021000530039973615
1	72418	17964	0.010033338341438458
1	72421	164	0.00009159805655733172
1	72434	891	0.000497645538979162
1	72457	173	0.00009662477917328286
1	72459	256	0.00014298233218705441
1	72465	1848	0.0010321537104752989
1	72469	748	0.00041777650185904956
1	72481	25	0.000013963118377642031
1	72487	110	0.00006143772086162494
1	72501	248	0.00013851413430620896
1	72521	16	0.000008936395761690901
1	72566	35	0.000019548365728698845
1	72576	4359	0.0024346093203256648
1	72578	469	0.0002619481007645645
1	72618	949	0.0005300399736152915
1	72693	1406	0.0007852857775585879
1	72697	39	0.00002178246466912157
1	72705	253	0.00014130675798173736
1	72708	27	0.000015080167847853393
1	72711	1211	0.00067637345421298
1	72712	304	0.0001697915194721271
1	72714	680	0.0003797968198718633
1	72715	590	0.00032952959371235197
1	72717	33	0.00001843131625848748
1	72726	19	0.000010611969967007944
1	72737	1848	0.0010321537104752989
1	72748	3651	0.0020391738078708423
1	72786	57	0.00003183590990102383
1	72857	31	0.00001731426678827612
